"","DATE",".mean"
"1",2010-05-01,87.1493462133826
"2",2010-05-02,104.057591556992
"3",2010-05-03,73.1484022901472
"4",2010-05-04,8.05249776306512
"5",2010-05-05,100.007035158481
"6",2010-05-06,80.8555128376586
"7",2010-05-07,86.6767050470867
"8",2010-05-08,87.953676324402
"9",2010-05-09,102.75070729087
"10",2010-05-10,73.3889025183567
"11",2010-05-11,8.61151492616001
"12",2010-05-12,100.652975867889
"13",2010-05-13,80.3916932998364
"14",2010-05-14,86.9349801754451
"15",2010-05-15,88.0279881136102
"16",2010-05-16,102.75070729087
"17",2010-05-17,73.3889025183567
"18",2010-05-18,8.61151492616001
"19",2010-05-19,100.652975867889
"20",2010-05-20,80.3916932998364
"21",2010-05-21,86.9349801754451
"22",2010-05-22,88.0279881136102
"23",2010-05-23,102.75070729087
"24",2010-05-24,73.3889025183567
"25",2010-05-25,8.61151492616001
"26",2010-05-26,100.652975867889
"27",2010-05-27,80.3916932998364
"28",2010-05-28,86.9349801754451
"29",2010-05-29,88.0279881136102
"30",2010-05-30,102.75070729087
"31",2010-05-31,73.3889025183567
