"","YearMonth",".mean"
"1",2014 Jan,10291437.7823933
"2",2014 Feb,8607147.52849807
"3",2014 Mar,7159783.92237614
"4",2014 Apr,5833040.15229398
"5",2014 May,5942376.32326574
"6",2014 Jun,8198345.52475468
"7",2014 Jul,9474812.12710793
"8",2014 Aug,9969550.26599327
"9",2014 Sep,8485268.75877042
"10",2014 Oct,5870010.13557133
"11",2014 Nov,6145966.79808631
"12",2014 Dec,8427923.59981724
