"","DATE",".mean"
"1",2010-05-01,502.33489668605
"2",2010-05-02,542.09568327477
"3",2010-05-03,493.803723880264
"4",2010-05-04,479.12509184334
"5",2010-05-05,421.018522887334
"6",2010-05-06,179.530673356728
"7",2010-05-07,552.514095570334
"8",2010-05-08,502.33489668605
"9",2010-05-09,542.09568327477
"10",2010-05-10,493.803723880264
"11",2010-05-11,479.12509184334
"12",2010-05-12,421.018522887334
"13",2010-05-13,179.530673356728
"14",2010-05-14,552.514095570334
"15",2010-05-15,502.33489668605
"16",2010-05-16,542.09568327477
"17",2010-05-17,493.803723880264
"18",2010-05-18,479.12509184334
"19",2010-05-19,421.018522887334
"20",2010-05-20,179.530673356728
"21",2010-05-21,552.514095570334
"22",2010-05-22,502.33489668605
"23",2010-05-23,542.09568327477
"24",2010-05-24,493.803723880264
"25",2010-05-25,479.12509184334
"26",2010-05-26,421.018522887334
"27",2010-05-27,179.530673356728
"28",2010-05-28,552.514095570334
"29",2010-05-29,502.33489668605
"30",2010-05-30,542.09568327477
"31",2010-05-31,493.803723880264
